"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","TIME","Value",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2010","25.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2011","24.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2012","24.9",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2013","24.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2014","24.7",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2015","24.4",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2016","23.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2017","23.3",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","124","CAN","Canada","2018","..",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2005","10.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2006","11.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2007","10.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2008","11.1",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2009","10.6",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2010","10.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2011","10.0",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2012","9.8",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2013","10.2",
"21","Gender pay gap in monthly earning, %","Gender pay gap in monthly earning","Percent","191","HRV","Croatia","2014","11.3",
