"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2012","69.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2013","69.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2014","67.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2015","68.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2016","67.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","208","DNK","Denmark","2017","68.3",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2005","35.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2006","35.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2007","35.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2008","25.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2009","31.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2010","30.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2011","30.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2012","30.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2013","30.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2014","30.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2015","31.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2016","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","233","EST","Estonia","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2005","22.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2006","23.8",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2007","24.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2008","25.9",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2009","24.2",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2010","24.6",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2011","25.5",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2012","25.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2013","25.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2014","25.1",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2015","25.4",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2016","25.7",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","246","FIN","Finland","2017","..",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2005","7.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2006","6.0",
"304","Enrolment rate of children in child care, %","Enrolment rate of children in child care","Percent","268","GEO","Georgia","2007","..",
