indicator,country_code,country,year,value_f,note_f,value_m,note_m
Transport Accidents,NZL,New Zealand,2014,115,,261,
Transport Accidents,NZL,New Zealand,2015,115,,303,
Accidental falls,NZL,New Zealand,2000,140,Break,111,Break
Accidental falls,NZL,New Zealand,2001,161,,129,
Accidental falls,NZL,New Zealand,2002,169,,135,
Accidental falls,NZL,New Zealand,2003,180,,157,
Accidental falls,NZL,New Zealand,2004,187,,168,
Accidental falls,NZL,New Zealand,2005,157,,172,
Accidental falls,NZL,New Zealand,2006,216,,167,
Accidental falls,NZL,New Zealand,2007,245,,177,
Accidental falls,NZL,New Zealand,2008,257,,217,
Accidental falls,NZL,New Zealand,2009,256,,199,
Accidental falls,NZL,New Zealand,2010,305,,221,
Accidental falls,NZL,New Zealand,2011,264,,231,
Accidental falls,NZL,New Zealand,2012,290,,226,
Accidental falls,NZL,New Zealand,2013,259,,217,
Accidental falls,NZL,New Zealand,2014,306,,237,
Accidental falls,NZL,New Zealand,2015,314,,231,
Intentional self-harm,NZL,New Zealand,2000,83,Break,375,Break
Intentional self-harm,NZL,New Zealand,2001,119,,388,
Intentional self-harm,NZL,New Zealand,2002,113,,354,
Intentional self-harm,NZL,New Zealand,2003,141,,376,
Intentional self-harm,NZL,New Zealand,2004,111,,382,
Intentional self-harm,NZL,New Zealand,2005,132,,382,
Intentional self-harm,NZL,New Zealand,2006,137,,387,
Intentional self-harm,NZL,New Zealand,2007,118,,375,
Intentional self-harm,NZL,New Zealand,2008,139,,381,
Intentional self-harm,NZL,New Zealand,2009,118,,394,
Intentional self-harm,NZL,New Zealand,2010,148,,387,
Intentional self-harm,NZL,New Zealand,2011,116,,377,
Intentional self-harm,NZL,New Zealand,2012,145,,404,
Intentional self-harm,NZL,New Zealand,2013,147,,366,
Intentional self-harm,NZL,New Zealand,2014,130,,377,
Intentional self-harm,NZL,New Zealand,2015,144,,386,
Assault,NZL,New Zealand,2000,22,Break,33,Break
Assault,NZL,New Zealand,2001,22,,31,
Assault,NZL,New Zealand,2002,31,,38,
Assault,NZL,New Zealand,2003,18,,38,
Assault,NZL,New Zealand,2004,13,,34,
Assault,NZL,New Zealand,2005,32,,39,
Assault,NZL,New Zealand,2006,23,,41,
Assault,NZL,New Zealand,2007,23,,31,
Assault,NZL,New Zealand,2008,19,,34,
Assault,NZL,New Zealand,2009,31,,53,
Assault,NZL,New Zealand,2010,23,,30,
Assault,NZL,New Zealand,2011,18,,35,
Assault,NZL,New Zealand,2012,25,,31,
Assault,NZL,New Zealand,2013,14,,40,
Assault,NZL,New Zealand,2014,14,,31,
Assault,NZL,New Zealand,2015,19,,40,
Tuberculosis,NZL,New Zealand,2000,12,Break,13,Break
Tuberculosis,NZL,New Zealand,2001,5,,6,
Tuberculosis,NZL,New Zealand,2002,11,,5,
Tuberculosis,NZL,New Zealand,2003,15,,12,
Tuberculosis,NZL,New Zealand,2004,12,,18,
Tuberculosis,NZL,New Zealand,2005,11,,10,
Tuberculosis,NZL,New Zealand,2006,11,,11,
Tuberculosis,NZL,New Zealand,2007,6,,10,
Tuberculosis,NZL,New Zealand,2008,10,,6,
Tuberculosis,NZL,New Zealand,2009,8,,8,
Tuberculosis,NZL,New Zealand,2010,7,,10,
Tuberculosis,NZL,New Zealand,2011,7,,8,
Tuberculosis,NZL,New Zealand,2012,3,,7,
Tuberculosis,NZL,New Zealand,2013,5,,7,
Tuberculosis,NZL,New Zealand,2014,6,,7,
Tuberculosis,NZL,New Zealand,2015,10,,11,
Neoplasms,NZL,New Zealand,2000,3578,Break,4193,Break
Neoplasms,NZL,New Zealand,2001,3725,,4248,
Neoplasms,NZL,New Zealand,2002,3754,,4225,
Neoplasms,NZL,New Zealand,2003,3773,,4307,
Neoplasms,NZL,New Zealand,2004,3931,,4283,
Neoplasms,NZL,New Zealand,2005,3822,,4215,
Neoplasms,NZL,New Zealand,2006,4004,,4167,
Neoplasms,NZL,New Zealand,2007,4019,,4563,
Neoplasms,NZL,New Zealand,2008,4030,,4583,
Neoplasms,NZL,New Zealand,2009,4070,,4429,
Neoplasms,NZL,New Zealand,2010,4129,,4538,
Neoplasms,NZL,New Zealand,2011,4281,,4678,
Neoplasms,NZL,New Zealand,2012,4216,,4767,
Neoplasms,NZL,New Zealand,2013,4288,,4853,
Neoplasms,NZL,New Zealand,2014,4413,,4942,
Neoplasms,NZL,New Zealand,2015,4558,,5145,
Malignant neoplasms of stomach,NZL,New Zealand,2000,123,Break,186,Break
Malignant neoplasms of stomach,NZL,New Zealand,2001,108,,195,
Malignant neoplasms of stomach,NZL,New Zealand,2002,112,,189,
Malignant neoplasms of stomach,NZL,New Zealand,2003,109,,206,
Malignant neoplasms of stomach,NZL,New Zealand,2004,115,,186,
Malignant neoplasms of stomach,NZL,New Zealand,2005,113,,143,
Malignant neoplasms of stomach,NZL,New Zealand,2006,112,,161,
Malignant neoplasms of stomach,NZL,New Zealand,2007,113,,184,
Malignant neoplasms of stomach,NZL,New Zealand,2008,110,,173,
Malignant neoplasms of stomach,NZL,New Zealand,2009,84,,164,
Malignant neoplasms of stomach,NZL,New Zealand,2010,95,,158,
Malignant neoplasms of stomach,NZL,New Zealand,2011,103,,193,
Malignant neoplasms of stomach,NZL,New Zealand,2012,123,,178,
Malignant neoplasms of stomach,NZL,New Zealand,2013,105,,177,
Malignant neoplasms of stomach,NZL,New Zealand,2014,95,,181,
Malignant neoplasms of stomach,NZL,New Zealand,2015,108,,151,
Malignant neoplasms of pancreas,NZL,New Zealand,2000,144,Break,168,Break
Malignant neoplasms of pancreas,NZL,New Zealand,2001,148,,137,
Malignant neoplasms of pancreas,NZL,New Zealand,2002,153,,150,
Malignant neoplasms of pancreas,NZL,New Zealand,2003,153,,153,
Malignant neoplasms of pancreas,NZL,New Zealand,2004,183,,172,
Malignant neoplasms of pancreas,NZL,New Zealand,2005,173,,180,
Malignant neoplasms of pancreas,NZL,New Zealand,2006,199,,156,
Malignant neoplasms of pancreas,NZL,New Zealand,2007,216,,212,
Malignant neoplasms of pancreas,NZL,New Zealand,2008,197,,176,
Malignant neoplasms of pancreas,NZL,New Zealand,2009,202,,211,
Malignant neoplasms of pancreas,NZL,New Zealand,2010,215,,220,
Malignant neoplasms of pancreas,NZL,New Zealand,2011,210,,219,
Malignant neoplasms of pancreas,NZL,New Zealand,2012,234,,229,
Malignant neoplasms of pancreas,NZL,New Zealand,2013,248,,215,
Malignant neoplasms of pancreas,NZL,New Zealand,2014,235,,248,
Malignant neoplasms of pancreas,NZL,New Zealand,2015,267,,238,
Malignant neoplasms of liver,NZL,New Zealand,2000,44,Break,99,Break
Malignant neoplasms of liver,NZL,New Zealand,2001,44,,76,
Malignant neoplasms of liver,NZL,New Zealand,2002,59,,94,
Malignant neoplasms of liver,NZL,New Zealand,2003,48,,100,
Malignant neoplasms of liver,NZL,New Zealand,2004,56,,117,
Malignant neoplasms of liver,NZL,New Zealand,2005,45,,95,
Malignant neoplasms of liver,NZL,New Zealand,2006,77,,132,
Malignant neoplasms of liver,NZL,New Zealand,2007,59,,144,
Malignant neoplasms of liver,NZL,New Zealand,2008,66,,124,
Malignant neoplasms of liver,NZL,New Zealand,2009,77,,130,
Malignant neoplasms of liver,NZL,New Zealand,2010,63,,142,
Malignant neoplasms of liver,NZL,New Zealand,2011,76,,164,
Malignant neoplasms of liver,NZL,New Zealand,2012,82,,154,
Malignant neoplasms of liver,NZL,New Zealand,2013,75,,177,
Malignant neoplasms of liver,NZL,New Zealand,2014,90,,166,
Malignant neoplasms of liver,NZL,New Zealand,2015,92,,193,
Malignant neoplasms of ovary,NZL,New Zealand,2000,179,Break,,
Malignant neoplasms of ovary,NZL,New Zealand,2001,175,,,
Malignant neoplasms of ovary,NZL,New Zealand,2002,173,,,
Malignant neoplasms of ovary,NZL,New Zealand,2003,166,,,
Malignant neoplasms of ovary,NZL,New Zealand,2004,187,,,
Malignant neoplasms of ovary,NZL,New Zealand,2005,190,,,
Malignant neoplasms of ovary,NZL,New Zealand,2006,212,,,
Malignant neoplasms of ovary,NZL,New Zealand,2007,199,,,
Malignant neoplasms of ovary,NZL,New Zealand,2008,184,,,
Malignant neoplasms of ovary,NZL,New Zealand,2009,214,,,
Malignant neoplasms of ovary,NZL,New Zealand,2010,212,,,
Malignant neoplasms of ovary,NZL,New Zealand,2011,199,,,
Malignant neoplasms of ovary,NZL,New Zealand,2012,175,,,
Malignant neoplasms of ovary,NZL,New Zealand,2013,178,,,
Malignant neoplasms of ovary,NZL,New Zealand,2014,195,,,
Malignant neoplasms of ovary,NZL,New Zealand,2015,208,,,
Hodgkin’s disease,NZL,New Zealand,2000,3,Break,5,Break
Hodgkin’s disease,NZL,New Zealand,2001,4,,9,
Hodgkin’s disease,NZL,New Zealand,2002,8,,7,
Hodgkin’s disease,NZL,New Zealand,2003,8,,12,
Hodgkin’s disease,NZL,New Zealand,2004,6,,9,
Hodgkin’s disease,NZL,New Zealand,2005,6,,11,
Hodgkin’s disease,NZL,New Zealand,2006,7,,11,
Hodgkin’s disease,NZL,New Zealand,2007,5,,18,
Hodgkin’s disease,NZL,New Zealand,2008,11,,12,
Hodgkin’s disease,NZL,New Zealand,2009,6,,12,
Hodgkin’s disease,NZL,New Zealand,2010,8,,8,
Hodgkin’s disease,NZL,New Zealand,2011,7,,9,
Hodgkin’s disease,NZL,New Zealand,2012,16,,10,
Hodgkin’s disease,NZL,New Zealand,2013,7,,18,
Hodgkin’s disease,NZL,New Zealand,2014,10,,10,
Hodgkin’s disease,NZL,New Zealand,2015,7,,9,
Leukemia,NZL,New Zealand,2000,95,Break,165,Break
Leukemia,NZL,New Zealand,2001,116,,136,
Leukemia,NZL,New Zealand,2002,108,,128,
Leukemia,NZL,New Zealand,2003,111,,158,
Leukemia,NZL,New Zealand,2004,145,,146,
Leukemia,NZL,New Zealand,2005,148,,159,
Leukemia,NZL,New Zealand,2006,127,,172,
Leukemia,NZL,New Zealand,2007,134,,172,
Leukemia,NZL,New Zealand,2008,130,,157,
Leukemia,NZL,New Zealand,2009,121,,145,
Leukemia,NZL,New Zealand,2010,117,,172,
Leukemia,NZL,New Zealand,2011,127,,191,
Leukemia,NZL,New Zealand,2012,148,,198,
Leukemia,NZL,New Zealand,2013,126,,192,
Leukemia,NZL,New Zealand,2014,146,,180,
Leukemia,NZL,New Zealand,2015,145,,208,
Malignant neoplasms of bladder,NZL,New Zealand,2000,56,Break,103,Break
Malignant neoplasms of bladder,NZL,New Zealand,2001,64,,112,
Malignant neoplasms of bladder,NZL,New Zealand,2002,56,,128,
Malignant neoplasms of bladder,NZL,New Zealand,2003,56,,120,
Malignant neoplasms of bladder,NZL,New Zealand,2004,56,,124,
Malignant neoplasms of bladder,NZL,New Zealand,2005,64,,121,
Malignant neoplasms of bladder,NZL,New Zealand,2006,51,,146,
Malignant neoplasms of bladder,NZL,New Zealand,2007,51,,118,
Malignant neoplasms of bladder,NZL,New Zealand,2008,66,,134,
Malignant neoplasms of bladder,NZL,New Zealand,2009,65,,144,
Malignant neoplasms of bladder,NZL,New Zealand,2010,49,,126,
Malignant neoplasms of bladder,NZL,New Zealand,2011,74,,126,
Malignant neoplasms of bladder,NZL,New Zealand,2012,74,,133,
Malignant neoplasms of bladder,NZL,New Zealand,2013,54,,126,
Malignant neoplasms of bladder,NZL,New Zealand,2014,73,,150,
Malignant neoplasms of bladder,NZL,New Zealand,2015,66,,169,
Malignant melanoma of skin,NZL,New Zealand,2000,98,Break,155,Break
Malignant melanoma of skin,NZL,New Zealand,2001,88,,156,
Malignant melanoma of skin,NZL,New Zealand,2002,86,,149,
Malignant melanoma of skin,NZL,New Zealand,2003,111,,174,
Malignant melanoma of skin,NZL,New Zealand,2004,98,,152,
Malignant melanoma of skin,NZL,New Zealand,2005,113,,156,
Malignant melanoma of skin,NZL,New Zealand,2006,114,,173,
Malignant melanoma of skin,NZL,New Zealand,2007,114,,178,
Malignant melanoma of skin,NZL,New Zealand,2008,115,,202,
Malignant melanoma of skin,NZL,New Zealand,2009,113,,213,
Malignant melanoma of skin,NZL,New Zealand,2010,125,,199,
Malignant melanoma of skin,NZL,New Zealand,2011,116,,243,
Malignant melanoma of skin,NZL,New Zealand,2012,132,,222,
Malignant melanoma of skin,NZL,New Zealand,2013,124,,232,
Malignant melanoma of skin,NZL,New Zealand,2014,141,,237,
Malignant melanoma of skin,NZL,New Zealand,2015,123,,255,
Dementia,NZL,New Zealand,2000,312,Break,172,Break
Dementia,NZL,New Zealand,2001,400,,199,
Dementia,NZL,New Zealand,2002,445,,203,
Dementia,NZL,New Zealand,2003,461,,213,
Dementia,NZL,New Zealand,2004,489,,258,
Dementia,NZL,New Zealand,2005,458,,204,
Dementia,NZL,New Zealand,2006,504,,256,
Dementia,NZL,New Zealand,2007,525,,235,
Dementia,NZL,New Zealand,2008,596,,256,
Dementia,NZL,New Zealand,2009,581,,276,
Dementia,NZL,New Zealand,2010,584,,272,
Dementia,NZL,New Zealand,2011,746,,348,
Dementia,NZL,New Zealand,2012,830,,418,
Dementia,NZL,New Zealand,2013,914,,487,
Dementia,NZL,New Zealand,2014,954,,540,
Dementia,NZL,New Zealand,2015,1100,,631,
Parkinson's disease,NZL,New Zealand,2000,65,Break,96,Break
Parkinson's disease,NZL,New Zealand,2001,73,,113,
Parkinson's disease,NZL,New Zealand,2002,79,,107,
Parkinson's disease,NZL,New Zealand,2003,67,,107,
Parkinson's disease,NZL,New Zealand,2004,83,,102,
Parkinson's disease,NZL,New Zealand,2005,78,,112,
Parkinson's disease,NZL,New Zealand,2006,100,,125,
Parkinson's disease,NZL,New Zealand,2007,88,,111,
Parkinson's disease,NZL,New Zealand,2008,96,,106,
Parkinson's disease,NZL,New Zealand,2009,96,,132,
Parkinson's disease,NZL,New Zealand,2010,91,,154,
Parkinson's disease,NZL,New Zealand,2011,92,,138,
Parkinson's disease,NZL,New Zealand,2012,115,,157,
Parkinson's disease,NZL,New Zealand,2013,101,,146,
Parkinson's disease,NZL,New Zealand,2014,95,,166,
Parkinson's disease,NZL,New Zealand,2015,88,,165,
Alzheimer's disease,NZL,New Zealand,2000,226,Break,121,Break
Alzheimer's disease,NZL,New Zealand,2001,262,,130,
Alzheimer's disease,NZL,New Zealand,2002,262,,129,
Alzheimer's disease,NZL,New Zealand,2003,271,,104,
Alzheimer's disease,NZL,New Zealand,2004,292,,117,
Alzheimer's disease,NZL,New Zealand,2005,280,,143,
Alzheimer's disease,NZL,New Zealand,2006,311,,137,
Alzheimer's disease,NZL,New Zealand,2007,313,,164,
Alzheimer's disease,NZL,New Zealand,2008,346,,187,
Alzheimer's disease,NZL,New Zealand,2009,347,,177,
Alzheimer's disease,NZL,New Zealand,2010,313,,162,
Alzheimer's disease,NZL,New Zealand,2011,382,,207,
Alzheimer's disease,NZL,New Zealand,2012,371,,190,
Alzheimer's disease,NZL,New Zealand,2013,340,,175,
Alzheimer's disease,NZL,New Zealand,2014,362,,202,
Alzheimer's disease,NZL,New Zealand,2015,449,,234,
Pneumonia,NZL,New Zealand,2000,200,Break,145,Break
Pneumonia,NZL,New Zealand,2001,260,,143,
Pneumonia,NZL,New Zealand,2002,286,,167,
Pneumonia,NZL,New Zealand,2003,251,,148,
Pneumonia,NZL,New Zealand,2004,279,,157,
Pneumonia,NZL,New Zealand,2005,236,,132,
Pneumonia,NZL,New Zealand,2006,293,,168,
Pneumonia,NZL,New Zealand,2007,274,,141,
Pneumonia,NZL,New Zealand,2008,292,,179,
Pneumonia,NZL,New Zealand,2009,266,,187,
Pneumonia,NZL,New Zealand,2010,264,,185,
Pneumonia,NZL,New Zealand,2011,376,,228,
Pneumonia,NZL,New Zealand,2012,394,,284,
Pneumonia,NZL,New Zealand,2013,379,,251,
Pneumonia,NZL,New Zealand,2014,375,,283,
Pneumonia,NZL,New Zealand,2015,423,,283,
Asthma,NZL,New Zealand,2000,49,Break,24,Break
Asthma,NZL,New Zealand,2001,42,,30,
Asthma,NZL,New Zealand,2002,49,,23,
Asthma,NZL,New Zealand,2003,49,,30,
Asthma,NZL,New Zealand,2004,48,,21,
Asthma,NZL,New Zealand,2005,43,,18,
Asthma,NZL,New Zealand,2006,53,,26,
Asthma,NZL,New Zealand,2007,31,,30,
Asthma,NZL,New Zealand,2008,44,,21,
Asthma,NZL,New Zealand,2009,35,,21,
Asthma,NZL,New Zealand,2010,34,,20,
Asthma,NZL,New Zealand,2011,52,,20,
Asthma,NZL,New Zealand,2012,36,,27,
Asthma,NZL,New Zealand,2013,46,,26,
Asthma,NZL,New Zealand,2014,67,,23,
Asthma,NZL,New Zealand,2015,60,,29,
Peptic ulcer,NZL,New Zealand,2000,58,Break,50,Break
Peptic ulcer,NZL,New Zealand,2001,40,,40,
Peptic ulcer,NZL,New Zealand,2002,51,,44,
Peptic ulcer,NZL,New Zealand,2003,48,,40,
Peptic ulcer,NZL,New Zealand,2004,46,,37,
Peptic ulcer,NZL,New Zealand,2005,43,,38,
Peptic ulcer,NZL,New Zealand,2006,49,,45,
Peptic ulcer,NZL,New Zealand,2007,39,,38,
Peptic ulcer,NZL,New Zealand,2008,40,,41,
Peptic ulcer,NZL,New Zealand,2009,37,,47,
Peptic ulcer,NZL,New Zealand,2010,33,,37,
Peptic ulcer,NZL,New Zealand,2011,41,,44,
Peptic ulcer,NZL,New Zealand,2012,29,,38,
Peptic ulcer,NZL,New Zealand,2013,22,,27,
Peptic ulcer,NZL,New Zealand,2014,35,,27,
Peptic ulcer,NZL,New Zealand,2015,28,,34,
Accidents,NZL,New Zealand,2000,367,Break,672,Break
Accidents,NZL,New Zealand,2001,382,,672,
Accidents,NZL,New Zealand,2002,416,,713,
Accidents,NZL,New Zealand,2003,443,,747,
Accidents,NZL,New Zealand,2004,437,,701,
Accidents,NZL,New Zealand,2005,362,,720,
Accidents,NZL,New Zealand,2006,425,,690,
Accidents,NZL,New Zealand,2007,492,,751,
Accidents,NZL,New Zealand,2008,513,,796,
Accidents,NZL,New Zealand,2009,491,,797,
Accidents,NZL,New Zealand,2010,552,,788,
Accidents,NZL,New Zealand,2011,593,,838,
Accidents,NZL,New Zealand,2012,503,,750,
Accidents,NZL,New Zealand,2013,454,,689,
Accidents,NZL,New Zealand,2014,537,,732,
Accidents,NZL,New Zealand,2015,529,,758,
Accidental poisoning,NZL,New Zealand,2000,11,Break,20,Break
Accidental poisoning,NZL,New Zealand,2001,7,,22,
Accidental poisoning,NZL,New Zealand,2002,17,,25,
Accidental poisoning,NZL,New Zealand,2003,21,,25,
Accidental poisoning,NZL,New Zealand,2004,17,,31,
Accidental poisoning,NZL,New Zealand,2005,20,,42,
Accidental poisoning,NZL,New Zealand,2006,17,,30,
Accidental poisoning,NZL,New Zealand,2007,27,,57,
Accidental poisoning,NZL,New Zealand,2008,34,,72,
Accidental poisoning,NZL,New Zealand,2009,37,,78,
Accidental poisoning,NZL,New Zealand,2010,40,,58,
Accidental poisoning,NZL,New Zealand,2011,44,,71,
Accidental poisoning,NZL,New Zealand,2012,41,,62,
Accidental poisoning,NZL,New Zealand,2013,28,,60,
Accidental poisoning,NZL,New Zealand,2014,30,,63,
Accidental poisoning,NZL,New Zealand,2015,29,,67,
All causes of death,NOR,Norway,2000,22342,,21676,
All causes of death,NOR,Norway,2001,22343,,21634,
All causes of death,NOR,Norway,2002,22784,,21617,
All causes of death,NOR,Norway,2003,21955,,20595,
All causes of death,NOR,Norway,2004,21232,,20025,
All causes of death,NOR,Norway,2005,21087,,20065,
All causes of death,NOR,Norway,2006,21621,,19621,
All causes of death,NOR,Norway,2007,21745,,20218,
All causes of death,NOR,Norway,2008,21400,,20316,
All causes of death,NOR,Norway,2009,21478,,19864,
All causes of death,NOR,Norway,2010,21466,,19976,
All causes of death,NOR,Norway,2011,21275,,20029,
All causes of death,NOR,Norway,2012,21888,,20025,
All causes of death,NOR,Norway,2013,21254,,19924,
All causes of death,NOR,Norway,2014,20659,,19685,
All causes of death,NOR,Norway,2015,20991,,19695,
All causes of death,NOR,Norway,2016,20986,,19623,
Certain infectious and parasitic diseases,NOR,Norway,2000,297,,241,
Certain infectious and parasitic diseases,NOR,Norway,2001,283,,238,
Certain infectious and parasitic diseases,NOR,Norway,2002,326,,259,
Certain infectious and parasitic diseases,NOR,Norway,2003,330,,279,
Certain infectious and parasitic diseases,NOR,Norway,2004,327,,263,
Certain infectious and parasitic diseases,NOR,Norway,2005,413,,380,
Certain infectious and parasitic diseases,NOR,Norway,2006,403,,338,
Certain infectious and parasitic diseases,NOR,Norway,2007,485,,350,
Certain infectious and parasitic diseases,NOR,Norway,2008,499,,415,
Certain infectious and parasitic diseases,NOR,Norway,2009,513,,436,
Certain infectious and parasitic diseases,NOR,Norway,2010,541,,400,
Certain infectious and parasitic diseases,NOR,Norway,2011,515,,439,
Certain infectious and parasitic diseases,NOR,Norway,2012,566,,455,
Certain infectious and parasitic diseases,NOR,Norway,2013,548,,430,
Certain infectious and parasitic diseases,NOR,Norway,2014,503,,411,
Certain infectious and parasitic diseases,NOR,Norway,2015,520,,424,
Certain infectious and parasitic diseases,NOR,Norway,2016,477,,378,
HIV-AIDS,NOR,Norway,2000,7,,8,
HIV-AIDS,NOR,Norway,2001,3,,8,
HIV-AIDS,NOR,Norway,2002,2,,10,
HIV-AIDS,NOR,Norway,2003,5,,11,
HIV-AIDS,NOR,Norway,2004,6,,17,
HIV-AIDS,NOR,Norway,2005,6,,18,
HIV-AIDS,NOR,Norway,2007,2,,7,
HIV-AIDS,NOR,Norway,2008,3,,9,
HIV-AIDS,NOR,Norway,2009,6,,13,
HIV-AIDS,NOR,Norway,2011,2,,10,
HIV-AIDS,NOR,Norway,2012,2,,8,
HIV-AIDS,NOR,Norway,2014,3,,8,
HIV-AIDS,NOR,Norway,2015,5,,4,
HIV-AIDS,NOR,Norway,2016,2,,6,
Malignant neoplasms,NOR,Norway,2000,4915,,5532,
Malignant neoplasms,NOR,Norway,2001,4975,,5588,
Malignant neoplasms,NOR,Norway,2002,4973,,5660,
Malignant neoplasms,NOR,Norway,2003,4930,,5579,
Malignant neoplasms,NOR,Norway,2004,4900,,5589,
Malignant neoplasms,NOR,Norway,2005,4969,,5598,
Malignant neoplasms,NOR,Norway,2006,4968,,5472,
Malignant neoplasms,NOR,Norway,2007,5011,,5684,
Malignant neoplasms,NOR,Norway,2008,4957,,5675,
Malignant neoplasms,NOR,Norway,2009,4901,,5643,
Malignant neoplasms,NOR,Norway,2010,5110,,5815,
Malignant neoplasms,NOR,Norway,2011,5022,,5817,
Malignant neoplasms,NOR,Norway,2012,5043,,5757,
Malignant neoplasms,NOR,Norway,2013,4900,,5650,
Malignant neoplasms,NOR,Norway,2014,5075,,5766,
Malignant neoplasms,NOR,Norway,2015,4941,,5821,
Malignant neoplasms,NOR,Norway,2016,5086,,5728,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2000,817,,777,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2001,868,,804,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2002,788,,824,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2003,858,,750,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2004,780,,806,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2005,753,,715,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2006,806,,769,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2007,813,,730,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2008,795,,761,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2009,784,,762,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2010,816,,773,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2011,781,,773,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2012,776,,828,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2013,780,,760,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2014,780,,784,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2015,779,,811,
"Malignant neoplasms of colon, rectum and anus",NOR,Norway,2016,827,,783,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2000,652,,1121,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2001,669,,1143,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2002,683,,1234,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2003,711,,1205,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2004,740,,1174,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2005,781,,1186,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2006,794,,1213,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2007,876,,1224,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2008,902,,1208,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2009,830,,1230,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2010,925,,1242,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2011,917,,1267,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2012,943,,1242,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2013,954,,1209,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2014,960,,1198,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2015,984,,1191,
"Malignant neoplasms of trachea, bronchus, lung",NOR,Norway,2016,1043,,1191,
Malignant neoplasms of Female breast,NOR,Norway,2000,761,,,
Malignant neoplasms of Female breast,NOR,Norway,2001,746,,,
Malignant neoplasms of Female breast,NOR,Norway,2002,735,,,
Malignant neoplasms of Female breast,NOR,Norway,2003,715,,,
Malignant neoplasms of Female breast,NOR,Norway,2004,694,,,
Malignant neoplasms of Female breast,NOR,Norway,2005,695,,,
Malignant neoplasms of Female breast,NOR,Norway,2006,675,,,
Malignant neoplasms of Female breast,NOR,Norway,2007,662,,,
Malignant neoplasms of Female breast,NOR,Norway,2008,615,,,
Malignant neoplasms of Female breast,NOR,Norway,2009,671,,,
Malignant neoplasms of Female breast,NOR,Norway,2010,673,,,
Malignant neoplasms of Female breast,NOR,Norway,2011,605,,,
Malignant neoplasms of Female breast,NOR,Norway,2012,645,,,
Malignant neoplasms of Female breast,NOR,Norway,2013,631,,,
Malignant neoplasms of Female breast,NOR,Norway,2014,663,,,
Malignant neoplasms of Female breast,NOR,Norway,2015,585,,,
Malignant neoplasms of Female breast,NOR,Norway,2016,623,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2000,99,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2001,101,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2002,99,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2003,109,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2004,81,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2005,72,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2006,79,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2007,84,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2008,93,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2009,73,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2010,78,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2011,66,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2012,68,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2013,75,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2014,63,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2015,79,,,
Malignant neoplasms of cervix uteri,NOR,Norway,2016,95,,,
Diseases of the blood and blood-forming organs,NOR,Norway,2000,44,,41,
Diseases of the blood and blood-forming organs,NOR,Norway,2001,62,,67,
